Fold,ANN hidden units,ANN error,RLR lambda,RLR error,Baseline error
1,5,3.997,0.001,4.454,9.812
2,4,4.392,0.001,5.097,9.781
3,4,4.405,0.1,4.907,10.593
4,5,4.904,1.0,5.765,10.986
5,5,4.317,0.0,4.582,11.656
6,5,4.591,0.01,5.19,10.336
7,5,4.426,0.1,4.679,10.164
8,5,5.657,0.0,5.671,11.096
9,4,3.94,0.0,4.305,10.771
10,5,4.284,0.0,4.378,8.776
